permalink,name,homepage_url,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_at_clean,id
"/company/absynth-biologics",Absynth Biologics,http://absynthbiologics.co.uk,biotech,1287964.0,operating,GBR,,Sheffield,Sheffield,1.0,1/1/07,2007-01-01,295
"/company/abt-molecular-imaging",ABT Molecular Imaging,http://advancedbiomarker.com,medical,2.0064818E7,operating,USA,TN,Knoxville,Knoxville,6.0,1/1/06,2006-01-01,296
"/company/abundance-generation",Abundance Generation,http://abundancegeneration.com,finance,4545754.0,operating,GBR,,London,London,1.0,1/1/09,2009-01-01,297
"/company/ac-immune-sa",AC Immune SA,http://acimmune.com,biotech,2.200946E7,operating,CHE,,TBD,1015 Lausanne,1.0,1/1/03,2003-01-01,298
"/company/acacia",Acacia,http://angel.co/acacia,mobile,15000.0,operating,USA,TN,Nashville,Nashville,1.0,3/10/12,2012-03-10,299
"/company/acacia-communications",Acacia Communications,http://www.acacia-inc.com,network_hosting,2.3E7,operating,USA,MA,Boston,Maynard,2.0,1/1/09,2009-01-01,300
"/company/acacia-interactive",Acacia Interactive,http://investing.businessweek.com,software,259910.0,operating,USA,TN,Nashville,Nashville,1.0,1/1/12,2012-01-01,301
"/company/acacia-living",Acacia Living,http://acacialiving.com,health,2338650.0,operating,USA,AZ,Phoenix,Scottsdale,1.0,1/1/10,2010-01-01,302
"/company/acacia-pharma",Acacia Pharma,http://www.acaciapharma.com,biotech,3.35E7,operating,GBR,,London,Cambridge,2.0,1/1/06,2006-01-01,303
"/company/acacia-research",Acacia Research,http://www.acaciaresearch.com,finance,2.446E8,ipo,USA,CA,Los Angeles,Newport Beach,2.0,1/1/92,1992-01-01,304
"/company/acacia-semiconductor",ACACIA Semiconductor,,semiconductor,368000.0,operating,PRT,,Caparica,Caparica,1.0,1/1/03,2003-01-01,305
"/company/academia-rfid",Academia RFID,http://rfidacademia.com,consulting,4499999.0,operating,CAN,,Montreal,Montreal,1.0,1/1/05,2005-01-01,306
"/company/academia-edu",Academia.edu,http://Academia.edu,social,1.78E7,operating,USA,CA,SF Bay,San Francisco,4.0,9/1/08,2008-09-01,307
"/company/academic-earth",Academic Earth,http://academicearth.org,education,,acquired,USA,CA,SF Bay,San Francisco,1.0,1/1/08,2008-01-01,308
"/company/academy-of-inovation",Academy of Inovation,,social,50000.0,operating,,,unknown,,1.0,2/11/11,2011-02-11,309
"/company/acadia-pharmaceuticals",ACADIA Pharmaceuticals,http://www.acadia-pharm.com,biotech,1.01385E8,ipo,USA,CA,San Diego,San Diego,2.0,,,310
"/company/acadiasoft",AcadiaSoft,http://www.acadiasoft.com,finance,4000000.0,operating,USA,MA,Boston,Pembroke,1.0,1/1/09,2009-01-01,311
"/company/acal-energy",ACAL Energy,http://www.acalenergy.co.uk,cleantech,1.6424363E7,operating,GBR,,Runcorn,Runcorn,3.0,8/1/04,2004-08-01,312
"/company/acamica",Acamica,http://www.acamica.com,education,130000.0,operating,ARG,,Buenos Aires,Buenos Aires,2.0,7/1/12,2012-07-01,313
"/company/acarix",Acarix,http://acarix.com,medical,4710960.0,operating,DNK,,Kongens Lyngby,Kongens Lyngby,1.0,1/1/09,2009-01-01,314
"/company/accedo-broadband",Accedo,http://accedo.tv,hardware,1270000.0,operating,SWE,,Stockholm,Stockholm,1.0,1/1/04,2004-01-01,315
"/company/accela",Accela,http://www.accela.com,software,5.0E7,operating,USA,CA,SF Bay,San Ramon,2.0,1/1/99,1999-01-01,316
"/company/accelera-innovations",Accelera Innovations,http://accelerainnovations.com,health,2.0E8,ipo,USA,IL,Chicago,Frankfort,1.0,,,317
"/company/accelera-mobile-broadband",Accelera Mobile Broadband,http://acceleramb.com,mobile,3033472.0,operating,USA,CA,SF Bay,Santa Clara,1.0,1/1/09,2009-01-01,318
"/company/accelerate-mobile-apps",Accelerate Mobile Apps,http://accelerate-ld.com,mobile,250000.0,operating,USA,CA,SF Bay,Scotts Valley,1.0,1/1/09,2009-01-01,319
"/company/accelerated-orthopedic-technologies",Accelerated Orthopedic Technologies,http://www.acceleratedorthopedics.com,medical,150000.0,closed,USA,CT,Guilford,Guilford,1.0,,,320
"/company/accelerated-vision-group",Accelerated Vision Group,http://acceleratedvision.com,analytics,8500000.0,operating,USA,KS,Kansas City,Overland Park,2.0,1/1/11,2011-01-01,321
"/company/accelereach",Accelereach,http://accelereach.com,social,50000.0,operating,,,unknown,,1.0,,,322
"/company/accelerize-new-media",Accelerize New Media,http://www.accelerizenewmedia.com,enterprise,1045500.0,operating,USA,CA,Los Angeles,Los Angeles,2.0,1/1/05,2005-01-01,323
"/company/acceleron-pharma",Acceleron Pharma,http://www.acceleronpharma.com,biotech,1.13701127E8,operating,USA,MA,Boston,Cambridge,6.0,1/1/04,2004-01-01,324
"/company/accelitec",Accelitec,http://www.accelitec.com,software,5705841.0,operating,USA,WA,Bellingham,Bellingham,3.0,1/1/01,2001-01-01,325
"/company/accellion",Accellion,http://www.accellion.com,enterprise,1.3410901E7,operating,USA,CA,SF Bay,Palo Alto,2.0,1/1/99,1999-01-01,326
"/company/accelops",AccelOps,http://www.accelops.com,analytics,2.5E7,operating,USA,CA,SF Bay,Santa Clara,2.0,1/1/07,2007-01-01,327
"/company/accendo-technologies",Accendo Technologies,http://www.accendo.co.za,software,1560000.0,operating,,,unknown,,1.0,1/1/02,2002-01-01,328
"/company/accent",Accent,http://www.accent-soc.com,semiconductor,2.020996E7,operating,ITA,,Italy - Other,,2.0,,,329
"/company/accentia-biopharmaceuticals-inc",Accentia Biopharmaceuticals Inc,,biotech,775000.0,operating,USA,FL,Tampa,TAMPA,2.0,,,330
